index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
1,Jai Bhim,2021,9.4,157975,2,https://www.imdb.com/title/tt15097216/
2,The Shawshank Redemption,1994,9.3,2505826,3,https://www.imdb.com/title/tt0111161/
3,Spider-Man: No Way Home,2021,9.2,83330,4,https://www.imdb.com/title/tt10872600/
4,The Godfather,1972,9.2,1727046,2,https://www.imdb.com/title/tt0068646/
5,Soorarai Pottru,2020,9.1,104606,2,https://www.imdb.com/title/tt10189514/
6,The Dark Knight,2008,9.0,2455335,3,https://www.imdb.com/title/tt0468569/
7,The Godfather: Part II,1974,9.0,1198388,4,https://www.imdb.com/title/tt0071562/
8,12 Angry Men,1957,9.0,740072,3,https://www.imdb.com/title/tt0050083/
9,The Lord of the Rings: The Return of the King,2003,8.9,1730819,10,https://www.imdb.com/title/tt0167260/
10,Pulp Fiction,1994,8.9,1933232,2,https://www.imdb.com/title/tt0110912/
11,Schindler's List,1993,8.9,1282043,2,https://www.imdb.com/title/tt0108052/
12,Inception,2010,8.8,2203247,1,https://www.imdb.com/title/tt1375666/
13,Dara of Jasenovac,2020,8.8,79983,3,https://www.imdb.com/title/tt10554232/
14,Sardar Udham,2021,8.8,32046,2,https://www.imdb.com/title/tt10280296/
15,Fight Club,1999,8.8,1971156,2,https://www.imdb.com/title/tt0137523/
16,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1752103,10,https://www.imdb.com/title/tt0120737/
17,Forrest Gump,1994,8.8,1934098,2,https://www.imdb.com/title/tt0109830/
18,"The Good, the Bad and the Ugly",1966,8.8,725786,7,https://www.imdb.com/title/tt0060196/
19,Shershaah,2021,8.7,109695,1,https://www.imdb.com/title/tt10295212/
20,The Lord of the Rings: The Two Towers,2002,8.7,1564578,8,https://www.imdb.com/title/tt0167261/
21,The Matrix,1999,8.7,1789688,2,https://www.imdb.com/title/tt0133093/
22,Goodfellas,1990,8.7,1084904,1,https://www.imdb.com/title/tt0099685/
23,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1218921,9,https://www.imdb.com/title/tt0080684/
24,One Flew Over the Cuckoo's Nest,1975,8.7,963590,6,https://www.imdb.com/title/tt0073486/
25,Parasite,2019,8.6,691851,1,https://www.imdb.com/title/tt6751668/
26,Drishyam 2,2021,8.6,32491,2,https://www.imdb.com/title/tt12361178/
27,Interstellar,2014,8.6,1653769,1,https://www.imdb.com/title/tt0816692/
28,City of God,2002,8.6,728200,3,https://www.imdb.com/title/tt0317248/
29,Spirited Away,2001,8.6,705932,2,https://www.imdb.com/title/tt0245429/
30,Saving Private Ryan,1998,8.6,1309408,3,https://www.imdb.com/title/tt0120815/
31,The Green Mile,1999,8.6,1219651,3,https://www.imdb.com/title/tt0120689/
32,Life Is Beautiful,1997,8.6,660259,3,https://www.imdb.com/title/tt0118799/
33,Se7en,1995,8.6,1539108,1,https://www.imdb.com/title/tt0114369/
34,The Silence of the Lambs,1991,8.6,1349461,5,https://www.imdb.com/title/tt0102926/
35,Star Wars: Episode IV - A New Hope,1977,8.6,1290680,8,https://www.imdb.com/title/tt0076759/
36,Hara-Kiri,1962,8.6,50727,1,https://www.imdb.com/title/tt0056058/
37,Seven Samurai,1954,8.6,332329,2,https://www.imdb.com/title/tt0047478/
38,It's a Wonderful Life,1946,8.6,428482,4,https://www.imdb.com/title/tt0038650/
39,96,2018,8.5,26682,1,https://www.imdb.com/title/tt7019842/
40,Whiplash,2014,8.5,777374,1,https://www.imdb.com/title/tt2582802/
41,The Intouchables,2011,8.5,807809,2,https://www.imdb.com/title/tt1675434/
